Title,Publisher,"Field of Research",Rating,ISSN,"ISSN Online",Website
"Management and Labour Studies","Sage Publications",3505,C,0258-042X,2321-0710,
"Management and Organization Review","Cambridge University Press",3507,A,1740-8776,1740-8784,
"Management Communication Quarterly","Sage Publications",3507,B,0893-3189,1552-6798,http://www.sagepub.com/
"Management Control","Franco Angeli",3501,C,2239-0391,2239-4397,
"Management Decision","Emerald Group Publishing",3507,B,0025-1747,1758-6070,http://www.emeraldinsight.com/loi/md
"Management International Review","Springer International Publishing",3507,A,0938-8249,1861-8901,http://link.springer.com/journal/11575
"Management Learning","Sage Publications",3507,A,1350-5076,1461-7307,http://mlq.sagepub.com/
"Management of Environmental Quality","Emerald Group Publishing",3599,C,1477-7835,,
"Management Research Review","Emerald Group Publishing",3507,C,2040-8269,,
"Management Research: The Journal of the Iberoamerican Academy of Management","Emerald Group Publishing",3503,C,1536-5433,,
"Management Review Quarterly","Springer International Publishing",3503,B,"2198-1620 ",2198-1639,
"Management Science",INFORMS,3507,A*,0025-1909,1526-5501,
"Management Teaching Review ","Sage Publications",3503,C,2379-2981,2379-2981,
"Management: Journal of Contemporary Management Issues","University of Split",3507,C,1331-0194,1846-3363,
"Managerial and Decision Economics","Wiley-Blackwell Publishing",3801,B,0143-6570,1099-1468,
"Managerial Auditing Journal","Emerald Group Publishing",3501,A,0268-6902,1758-7735,
"Managerial Finance","Emerald Group Publishing",3502,B,0307-4358,1758-7743,
"Managing Sport and Leisure","Taylor & Francis Online",3504,B,1360-6719,1466-450X,
"Manchester Journal of International Economic Law",ElectronicPublications,4801,C,1742-3945,,http://www.heinonline.org/
"Manchester School","Wiley-Blackwell Publishing",3801,B,1463-6786,1467-9957,
"Manufacturing and Service Operations Management",INFORMS,3509,A*,1523-4614,1526-5498,
"Margin: The journal of applied economic research","Sage Publications",3801,C,0973-8010,0973-8029,http://mar.sagepub.com/
"Marine Policy",Elsevier,4801,A,0308-597X,1872-9460,http://www.journals.elsevier.com/marine-policy
"Marine Resource Economics","University of Chicago Press",3801,A,0738-1360,2334-5985,
"Maritime Business Review",Emerald,3509,C,2397-3757,2397-3765,
"Maritime Economics & Logistics","Springer International Publishing",3801,B,1479-2931,1479-294X,
"Maritime Policy and Management","Taylor & Francis Online",3509,B,0308-8839,1464-5254,
"Market Microstructure and Liquidity","World Scientific",3502,B,2382-6266,2424-8037,
"Marketing Bulletin","Massey University",3506,C,1176-645X,,
"Marketing Education Review","Taylor & Francis Online",3506,C,1052-8008,2153-9987,http://www.tandfonline.com/mmer
"Marketing Health Services","American Marketing Association",3506,C,1094-1304,,http://www.ebscohost.com/
"Marketing Intelligence & Planning","Emerald Group Publishing",3506,A,0263-4503,1758-8049,
"Marketing Letters","Springer International Publishing",3506,A,0923-0645,1573-059X,http://www.springerlink.com/
"Marketing Science",INFORMS,3506,A*,0732-2399,1526-548X,
"Marketing Theory","Sage Publications",3506,A,1470-5931,1741-301X,http://mtq.sagepub.com/
"Mathematical Finance","Wiley-Blackwell Publishing",3502,A,0960-1627,1467-9965,
"Mathematical Methods in Economics and Finance","Universite Ca Foscari Venezia",3502,C,1971-6419,1971-3878,
"Mathematical Methods of Statistics","Springer International Publishing",4905,B,1066-5307,1934-8045,http://www.springer.com/
"Mathematical Social Sciences",Elsevier,3801,A,0165-4896,1879-3118,
"Mathematics and Financial Economics","Springer International Publishing",3801,C,1862-9679,1862-9660,http://www.springerlink.com/
"Mathematics of Operations Research",INFORMS,3507,A,0364-765X,1526-5471,
"Measuring Business Excellence","Emerald Group Publishing",3507,B,1368-3047,1758-8057,http://www.emeraldinsight.com/loi/mbe
"Media and Arts Law Review",LexisNexis,4801,C,1325-1570,,http://www.law.unimelb.edu.au/
"Media Culture and Society","Sage Publications",3503,B,0163-4437,1460-3675,http://mcs.sagepub.com/
"Medical Law International","Sage Publications",4801,C,0968-5332,2047-9441,
"Meditari Accountancy Research","Emerald Group Publishing",3501,A,2049-372X,2049-3738,
"Melbourne Journal of International Law","The University of Melbourne",4801,A,1444-8602,1444-8610,http://www.austlii.edu.au/au/journals/MelbJIL/
"Melbourne University Law Review","Melbourne University Law Review Association",4801,A*,0025-8938,1839-3810,
"Metrika: international journal for theoretical and applied statistics","Springer International Publishing",4905,B,0026-1335,1435-926X,http://www.springerlink.com/
"Metroeconomica: International review of economics","Wiley-Blackwell Publishing",3801,B,0026-1386,1467-999X,
Metron,"Springer International Publishing",4905,C,0026-1424,2281-695X,
"Middle East Business and Economic Review","Association for Middle East Economic Research",3801,C,1035-3704,,http://www.proquest.co.uk/en-UK/
"Middle East Development Journal","Taylor & Francis Online",3899,C,1793-8120,1793-8171,
"Millenium: journal of international studies","Sage Publications",3599,B,0305-8298,1477-9021,http://mil.sagepub.com/
"Millennial Asia: An International Journal of Asian Studies","Sage Publications",3801,C,0976-3996,2321-7081,
"Mineral Economics","Springer International Publishing",3899,C,2191-2203,2191-2211,
"Minnesota Journal of Business Law and Entrepreneurship","University of Minnesota",4801,B,1540-3270,,http://www.heinonline.org/
"MIS Quarterly","University of Minnesota Press",4609,A*,0276-7783,2162-9730,
"MIS Quarterly Executive","Kelley School of Business, Department of Information Systems, Indiana University",4609,A,1540-1960,1540-1979,
"MIT Sloan Management Review","MIT Press",3507,A,1532-9194,1532-8937,
"Model Assisted Statistics and Applications","IOS Press",4905,C,1574-1699,1875-9068,
"Monash University Law Review","Monash University",4801,A,0311-3140,,http://www.heinonline.org/
"Monetary and Economic Studies","Bank of Japan's Institute for Monetary and Economic Studies (IMES)",3801,C,0288-8432,1348-7787,http://www.imes.boj.or.jp/english/publication/mes/fmes.html
"Money Affairs","Centre for Latin American Monetary Studies (CEMLA)",3801,C,0187-7615,0187-7615,http://www.cemla.org/money-affairs.html
"Monte Carlo Methods and Applications","De Gruyter ",4905,C,,1569-3961,
"Motivation and Emotion","Springer International Publishing",3503,A,0146-7239,1573-6644,http://www.springerlink.com/
"Multinational Business Review","Emerald Group Publishing",3507,B,1525-383X,2054-1686,
"Multinational Finance Journal","Multinational Finance Society",3502,B,1096-1879,1096-2190,
"Multivariate Behavioral Research","Taylor & Francis Online",3507,A,0027-3171,1532-7906,http://www.tandfonline.com/hmbr
"Mustang Journal of Accounting and Finance","Mustang Journals",3501,C,1949-1794,1949-1786,
"Narrative Inquiry","John Benjamins Publishing Company",3503,B,1387-6740,1569-9935,https://www.benjamins.com/#catalog/journals/ni/main
"National Economic Review","National Institute of Economic & Industry Research ",3801,C,0813-9474,,
"National Institute Economic Review","Sage Publications",3801,B,0027-9501,1741-3036,http://ner.sagepub.com/
"National Tax Journal","National Tax Association",4801,A,0028-0283,1944-7477,
"Naval Research Logistics","Wiley-Blackwell Publishing",3509,B,0894-069X,1520-6750,
"NBER Macroeconomics Annual","University of Chicago Press",3803,A,0889-3365,1537-2642,
"Negotiation and Conflict Management Research","Wiley-Blackwell Publishing",3505,C,1750-4708,1750-4716,
"Negotiation Journal","Wiley-Blackwell Publishing",3503,B,0748-4526,1571-9979,
Netnomics,"Springer International Publishing",3899,C,1385-9587,1573-7071,http://www.springerlink.com/
"Networks and Spatial Economics","Springer International Publishing",3801,B,1566-113X,1572-9427,
"New Directions for Evaluation","Wiley-Blackwell Publishing",3503,B,1097-6736,1534-875X,
"New England Journal of Entrepreneurship","Emerald Group Publishing",3507,C,1550-333X,2574-8904,
"New Law Journal",LexisNexis,4801,C,0306-6479,,http://www.newlawjournal.co.uk/
"New Perspectives on Political Economy","Liberalni Institut",3801,C,1801-0938,,
"New Political Economy","Taylor & Francis Online",3801,A,1356-3467,1469-9923,http://www.tandfonline.com/cnpe
"New Technology, Work & Employment","Wiley-Blackwell Publishing",3505,A,0268-1072,1468-005X,
"New York Economic Review","New York State Economics Association",3801,C,1090-5693,,http://www.nyecon.net/
"New Zealand Business Law Quarterly","The University of Auckland / Thomson Reuters",4801,B,1173-311X,,
"New Zealand Economic Papers","Taylor & Francis Online",3801,B,0077-9954,1943-4863,http://www.tandfonline.com/loi/rnzp20
"New Zealand Intellectual Property Journal",LexisNexis,4801,B,1359-9054,,
"New Zealand Journal of Employment Relations","ER Publishing Ltd.",3503,B,1176-4716,1179-2965,http://www.nzjournal.org/
"New Zealand Journal of Human Resources Management","Human Resources Institute of New Zealand",3505,C,1175-5407,1175-5407,http://www.nzjhrm.co.nz
"New Zealand Journal of Taxation Law and Policy","Thomson Reuters",4801,A,1322-4417,,http://www.thomsonreuters.co.nz/new-zealand-journal-of-taxation-law-and-policy/productdetail/121315
"New Zealand Law Journal",LexisNexis,4801,B,0028-8373,,http://www.lexisnexis.co.nz/en-nz/products/new-zealand-law-journal.page
"New Zealand Law Review","University of Auckland",4801,B,1173-5864,,
"New Zealand Population Review","Population Association of New Zealand",3503,C,0111-199X,,
"New Zealand Universities Law Review","Thomson Reuters",4801,A,0549-0618,,
"New Zealand Yearbook of International Law","University of Canterbury",4801,C,1176-6417,,
"Nonprofit and Voluntary Sector Quarterly","Sage Publications",3507,A,0899-7640,1552-7395,http://nvs.sagepub.com/
"Nonprofit Management and Leadership","Wiley-Blackwell Publishing",3507,B,1048-6682,1542-7854,
"Nordic Journal of Commercial Law","Aalborg University",4801,C,1459-9686,,
"Nordic Journal of Political Economy","Institutt for Samfunnsforskning",3801,C,0345-8555,,
"North American Actuarial Journal","Taylor & Francis Online",3502,A,1092-0277,2325-0453,
"North Carolina Banking Institute Journal","University of North Carolina School of Law",4801,C,1096-7249,,
"Northeastern Journal of Agricultural and Resource Economics","University of Minnesota Department of Applied Economics",3899,C,0899-367X,,http://ageconsearch.umn.edu/handle/36506
"Northern Economic Review","Centre for Urban and Regional Development Studies, University of Newcastle, UK",3801,C,0262-0383,,
"Northwestern Journal of International Law & Business","Northwestern University Press",4801,B,0196-3228,,
"Norton Journal of Bankruptcy Law and Practice","Thomson Reuters",4801,C,1059-048X,,
"Nova Economia: the journal of the economics department at UFMG","Universidade Federal de Minas Gerais, Department of Economics, Brasil",3801,C,0103-6351,1980-5381,http://www.face.ufmg.br/novaeconomia/eng/
"NYU Journal of Law and Business","New York University School of Law",4801,C,1558-5778,,http://heinonline.org/
"Oil, Gas and Energy Quarterly","Matthew Bender / LexisNexis",4801,C,1096-9195,,
Omega,Elsevier,3503,A,0305-0483,1873-5274,
"Online Information Review","Emerald Group Publishing Limited",4609,B,1468-4527,1468-4535,
"OPEC Energy Review","Wiley-Blackwell Publishing",3801,C,1753-0229,1753-0237,
"Open Economies Review","Springer International Publishing",3801,B,0923-7992,1573-708X,http://www.springerlink.com/
"Operational Research","Springer International Publishing",3509,C,1109-2858,1866-1505,
"Operations and Supply Chain Management","Operations and Supply Chain Management Forum",3509,C,1979-3561,1979-3871,
"Operations Management Research","Springer International Publishing",3507,C,1936-9735,1936-9743,http://www.springerlink.com/
"Operations Research",INFORMS,3507,A*,0030-364X,1526-5463,
"Operations Research Letters",Elsevier,3507,A,0167-6377,1872-7468,http://www.journals.elsevier.com/operations-research-letters
Opsearch,"Springer International Publishing",3507,C,0030-3887,0975-0320,
"Optimal Control Applications and Methods","Wiley-Blackwell Publishing",3507,B,0143-2087,1099-1514,
Optimization,"Taylor & Francis Online",3507,B,0233-1934,1029-4945,http://www.tandfonline.com/gopt
"OR Spectrum","Springer International Publishing",3507,B,0171-6468,1436-6304,http://www.springerlink.com/
"Oregon Law Review","University of Oregon",4801,A,0196-2043,,http://www.heinonline.org/
"Organization & Environment","Sage Publications",3507,A,1086-0266,1552-7417,
"Organization Development Journal","International Society for Organization Development and Change",3505,C,0889-6402,,
"Organization Management Journal","Taylor & Francis Online",3507,C,1541-6518,,
"Organization Science",Informs,3507,A*,1047-7039,1526-5455,
"Organization Studies","Sage Publications",3507,A*,0170-8406,1741-3044,http://oss.sagepub.com/
"Organization: the critical journal of organization, theory and society","Sage Publications",3503,A,1350-5084,1461-7323,http://org.sagepub.com/
"Organizational Behavior and Human Decision Processes",Elsevier,3507,A*,0749-5978,1095-9920,http://www.journals.elsevier.com/organizational-behavior-and-human-decision-processes/
"Organizational Dynamics",Elsevier,3507,A,0090-2616,1873-3530,http://www.journals.elsevier.com/organizational-dynamics
"Organizational Psychology Review","Sage Publications",3507,A,2041-3866,2041-3874,
"Organizational Research Methods","Sage Publications",3507,A*,1094-4281,1552-7425,http://www.sagepub.com/
"Osgoode Hall Law Journal","Osgoode Hall Law School of York University",4801,A,0030-6185,,http://digitalcommons.osgoode.yorku.ca/ohlj/
"Otago Law Review","University of Otago",4801,C,0078-6918,,
"Oxford Bulletin of Economics and Statistics","Wiley-Blackwell Publishing",3802,A,0305-9049,1468-0084,
"Oxford Development Studies","Taylor & Francis Online",3801,B,1360-0818,1469-9966,
"Oxford Economic Papers","Oxford University Press",3801,A,0030-7653,1464-3812,http://oep.oxfordjournals.org/
"Oxford Journal of Legal Studies","Oxford University Press",4801,A,0143-6503,1464-3820,http://ojls.oxfordjournals.org/
"Oxford Review of Economic Policy","Oxford University Press",3801,A,0266-903X,1460-2121,http://oxrep.oxfordjournals.org/
"Oxford University Commonwealth Law Journal","Taylor & Francis Online",4801,A*,1472-9342,1757-8469,
"Oxonomics: Oxford university economic studies","Wiley-Blackwell Publishing",3801,B,1752-5195,1752-5209,
"Pacific Accounting Review","Emerald Group Publishing",3501,B,0114-0582,2041-5494,
"Pacific Affairs: an international review of Asia and the Pacific","University of British Columbia",3503,B,0030-851X,1715-3379,https://www.jstor.org/journal/pacificaffairs
"Pacific Asia Journal of the Association for Information Systems","Association for Information Systems (AIS)",4609,B,,1943-7544,
"Pacific Economic Bulletin","Australian National University",3801,C,0817-8038,,http://peb.anu.edu.au/
"Pacific Economic Review","Wiley-Blackwell Publishing",3801,B,1361-374X,1468-0106,
"Pacific Rim Property Research Journal","Taylor & Francis Online",3504,C,1444-5921,2201-6716,
"Pacific-Basin Finance Journal",Elsevier,3502,A,0927-538X,1879-0585,
"Pakistan Development Review","Pakistan Institute of Development Economics",3801,C,0030-9729,,http://cje.oxfordjournals.org/content/18/2/local/back-matter.pdf
"Pakistan Economic and Social Review","Lahore University, Department of Economics",3801,C,1011-002X,2224-4174,http://pu.edu.pk/home/journal/7/
"Pakistan Journal of Applied Economics","University of Karachi",3801,C,0254-9204,,
"Pakistan Journal of Statistics","Pakistan Journal of Statistics",4905,C,1012-9367,,http://www.pakjs.com/
"Papers in Regional Science","Wiley-Blackwell Publishing",3801,A,1056-8190,1435-5957,
"Parliamentary Affairs","Oxford University Press",3599,B,0031-2290,1460-2482,
"Pasos. Journal of Tourism and Cultural Heritage","The Institute for Social and Tourism Research of University of La Laguna, Portugal",3508,C,1695-7121,,http://www.pasosonline.org/en/
"Peace Economics, Peace Science and Public Policy","De Gruyter ",3899,C,1554-8597,1079-2457,
"Pennsylvania Economic Review","Pennsylvania Economic Association",3801,C,1531-0949,,
"Pepperdine Law Review","Pepperdine University School of Law",4801,C,0092-430X,,http://law.pepperdine.edu/law-review/
"Performance Measurement and Metrics","Emerald Group Publishing",3505,C,1467-8047,1758-6925,
"Personal and Ubiquitous Computing","Springer International Publishing",4609,A,1617-4909,1617-4917,
"Personality and Individual Differences",Elsevier,3507,A,0191-8869,1873-3549,http://www.journals.elsevier.com/personality-and-individual-differences/
"Personality and Social Psychology Bulletin","Sage Publications",3507,A*,0146-1672,1552-7433,
"Personality and Social Psychology Review","Sage Publications",3507,A*,1088-8683,1532-7957,http://psr.sagepub.com/
"Personnel Psychology","Wiley-Blackwell Publishing",3507,A*,0031-5826,1744-6570,
"Personnel Review","Emerald Group Publishing",3505,A,0048-3486,1758-6933,http://www.emeraldinsight.com/loi/pr
"Perspectives of Innovations, Economics & Business","Prague Development Center",3899,C,1804-0519,,
"Perspectives on Work","University of Illinois Press",3505,C,1534-9276,1534-9276,http://www.press.uillinois.edu/journals/pow.html
"Petroleum Accounting and Financial Management Journal","Institute of Petroleum Accounting",3501,C,1554-2904,,http://www.ipa.unt.edu/journal.php
PharmacoEconomics,"Springer International Publishing",3899,A,1170-7690,1179-2027,
"Philippine Journal of Labor and Industrial Relations","University of the Philippines, School of Labor and Industrial Relations",3505,C,0115-6373,0115-6373,http://www.solair.upd.edu.ph/call%20for%20papers.html
"Philippine Review of Economics","University of the Phillipines",3899,C,1655-1516,,http://pre.econ.upd.edu.ph/index.php/pre
"Philosophy & Public Affairs","Wiley-Blackwell Publishing",3503,A,0048-3915,1088-4963,
"Philosophy of Management","Springer International Publishing",3507,C,1740-3812,2052-9597,http://www.managementphilosophers.com/
"Philosophy of the Social Sciences","Sage Publications",3503,B,0048-3931,1552-7441,http://pos.sagepub.com/
"Pittsburgh Tax Review","University of Pittsburgh School of Law",4801,C,1932-1821,,
"Place Branding and Public Diplomacy","Springer International Publishing",3508,B,1751-8040,1751-8059,
"Poetics: Journal of Empirical Research on Culture, Media and the Arts",Elsevier,3504,A,0304-422X,1872-7514,
"Policy and Politics: an international journal","Policy Press",3599,A,0305-5736,1470-8442,http://policypress.co.uk/journals/policy-and-politics
"Policy and Society","Taylor & Francis Online",3599,B,1449-4035,1839-3373,
"Policy Sciences: an international journal devoted to the improvement of policy making","Springer International Publishing",3599,B,0032-2687,1573-0891,http://www.springerlink.com/
"Policy Studies","Taylor & Francis Online",3599,B,0144-2872,1470-1006,
"Policy Studies Journal","Wiley-Blackwell Publishing",3599,B,0190-292X,1541-0072,
"Political Communication","Taylor & Francis Online",3599,A,1058-4609,1091-7675,
"Political Quarterly","Wiley-Blackwell Publishing",3599,B,,1467-923X,
"Political Science Quarterly","Academy of Political Science",3599,A,,1538-165X,
"Political Studies","Sage Publications",3599,B,0032-3217,1467-9248,http://psx.sagepub.com/
"Politicka Ekonomie: teorie, modelovani, aplikace","Vysok· akola ekonomick· v Praze",3801,B,0032-3233,,http://www.vse.cz/polek/
"Politics and Gender","Cambridge University Press",3599,A,1743-923X,1743-9248,
"Politics and Society","Sage Publications",3599,B,0032-3292,1552-7514,http://pas.sagepub.com/
"Politics, Philosophy & Economics","Sage Publications",3899,B,1470-594X,1741-3060,
Population,"Institut national d'Etudes demographiques",3503,B,1634-2941,,
"Population and Development Review","Wiley-Blackwell Publishing",3503,A,0098-7921,1728-4457,
"Population and Environment","Springer International Publishing",3599,A,0199-0039,1573-7810,http://www.springerlink.com/
"Population Bulletin","Population Reference Bureau",3503,A,0032-468X,,http://www.proquest.co.uk/en-UK/
"Population Research and Policy Review","Springer International Publishing",3503,A,0167-5923,1573-7829,
"Population Studies: a journal of demography","Taylor & Francis Online",3503,A,0032-4728,1477-4747,http://www.tandfonline.com/rpst
"Population, Space and Place","Wiley-Blackwell Publishing",3503,A,1544-8444,1544-8452,
"Portuguese Economic Journal","Springer International Publishing",3801,C,1617-982X,1617-9838,http://www.springerlink.com/
"Post-Communist Economies","Taylor & Francis Online",3801,B,1463-1377,1465-3958,
"Post-Soviet Affairs","Taylor & Francis Online",3599,B,1060-586X,1938-2855,http://www.tandfonline.com/toc/rpsa20/current
"Prague Economic Papers","University of Economics, Prague",3801,C,1210-0455,2336-730X,
PRism,"Center for Culture-Centered Approach to Research and Evaluation",3506,B,1448-4404,,
"Probability Theory and Related Fields","Springer International Publishing",4905,A*,0178-8051,1432-2064,http://www.springerlink.com/
"Problems of Development / Problemas del Desarrollo",Elsevier,3801,C,0301-7036,,
"Problems of Economic Transition","Taylor & Francis Online",3801,B,1061-1991,1557-931X,
"Production and Operations Management","Wiley-Blackwell Publishing",3509,A*,1059-1478,1937-5956,
"Production Planning and Control","Taylor & Francis Online",3507,A,0953-7287,1366-5871,
"Progress in Development Studies","Sage Publications",3801,C,1464-9934,1477-027X,http://pdj.sagepub.com/
"Project Management Journal","Wiley-Blackwell Publishing",3507,B,8756-9728,1938-9507,
"Prometheus: Critical Studies in Innovation","Taylor & Francis Online",3507,B,0810-9028,1470-1030,
"Property Management","Emerald Group Publishing",3504,B,0263-7472,1758-731X,http://www.emeraldinsight.com/loi/pm
"Psychological Bulletin","American Psychological Association",3507,A*,0033-2909,1939-1455,http://www.apa.org/pubs/journals/bul/
"Psychological Research","Springer International Publishing",3507,A,0340-0727,1430-2772,
"Psychological Review","American Psychological Association",3507,A*,0033-295X,1939-1471,http://www.apa.org/pubs/journals/rev/
"Psychological Science","Sage Publications",3507,A*,0956-7976,1467-9280,http://pss.sagepub.com/
"Psychology & Marketing","Wiley-Blackwell Publishing",3506,A,0742-6046,1520-6793,
"Psychology of Women Quarterly","Sage Publications",3507,A,0361-6843,1471-6402,http://pwq.sagepub.com/
"Public Administration and Development","Wiley-Blackwell Publishing",3503,A,0271-2075,1099-162X,
"Public Administration Quarterly","Southern Public Administration Education Foundation Inc",3503,A,0734-9149,2327-4433,
"Public Administration Review","Wiley-Blackwell Publishing",3503,A,0033-3352,1540-6210,
"Public Administration: An international journal","Wiley-Blackwell Publishing",3503,A,0033-3298,1467-9299,
"Public Budgeting & Finance","Wiley-Blackwell Publishing",3801,C,0275-1100,1540-5850,
"Public Choice","Springer International Publishing",3801,A,0048-5829,1573-7101,
"Public Finance Analysis / FinanzArchiv","Mohr Siebeck Verlag",3502,B,0015-2218,1614-0974,
"Public Finance and Management","Southern Public Administration Education Foundation Inc.",3502,B,1523-9721,,
"Public Finance Review","Sage Publications",3801,B,1091-1421,1552-7530,http://pfr.sagepub.com/
"Public Law: the constitutional and administrative law of the Commonwealth","Sweet & Maxwell",4801,A,0033-3565,,http://www.sweetandmaxwell.co.uk/Catalogue/ProductDetails.aspx?recordid=469
"Public Management Review","Taylor & Francis Online",3507,A,1471-9037,1471-9045,http://www.tandfonline.com/rpxm
"Public Money & Management","Taylor & Francis Online",3507,B,0954-0962,1467-9302,
"Public Opinion Quarterly","Oxford University Press",3503,A,0033-362X,1537-5331,http://poq.oxfordjournals.org/
"Public Performance & Management Review","Taylor & Francis Online",3507,B,1530-9576,1557-9271,
"Public Personnel Management","Sage Publications",3507,B,0091-0260,1945-7421,
"Public Policy and Administration","Sage Publications",3599,B,0952-0767,1749-4192,
"Public Policy Research","Wiley-Blackwell Publishing",3899,C,1744-5396,,
"Public Relations Inquiry","Sage Publications",3506,B,2046-147X,2046-1488,
"Public Relations Review",Elsevier,3506,A,0363-8111,1873-4537,http://www.journals.elsevier.com/public-relations-review
"Publishing Research Quarterly","Springer International Publishing",3503,C,1053-8801,1936-4792,
"Qualitative Market Research: An international journal","Emerald Group Publishing",3506,B,1352-2752,1758-7646,
"Qualitative Research in Accounting and Management","Emerald Group Publishing",3501,A,1176-6093,1758-7654,
"Qualitative Research in Financial Markets","Emerald Group Publishing Limited",3502,B,1755-4179,1755-4187,
"Qualitative Research in Organizations and Management","Emerald Group Publishing",3507,B,1746-5648,1746-5656,
"Quality & Quantity","Springer International Publishing",3503,B,0033-5177,1573-7845,
"Quality Management Journal","Taylor & Francis Online",3509,B,1068-6967,2575-6222,
"Quality of Life Research","Springer International Publishing",3503,A,0962-9343,1573-2649,http://www.springerlink.com/
"Quantitative Economics","Wiley-Blackwell Publishing",3802,A*,1759-7323,1759-7331,
"Quantitative Finance","Taylor & Francis Online",3502,A,1469-7688,1469-7696,http://www.tandfonline.com/rquf
"Quantitative Marketing and Economics","Springer International Publishing",3506,A,1570-7156,1573-711X,http://www.springerlink.com/
"Quarterly Journal of Experimental Psychology ","Taylor & Francis Online",3507,A,1747-0218,1747-0226,
"Quarterly Journal of Finance","World Scientific Publishing",3502,A,2010-1392,2010-1406,
"Quarterly Journal of Finance and Accounting","Creighton University",3501,B,0747-5535,,
"Quarterly Journal of Political Science","Now Publishers",3599,B,1554-0626,1554-0634,http://www.qjps.com/
"Quarterly Review of Economics and Finance",Elsevier,3801,B,1062-9769,1878-4259,
"Queensland Review","Cambridge University Press",3503,C,1321-8166,,https://search.informit.com.au/browseJournalTitle;issn=1321-8166;res=IELLCC
Quest,"Taylor & Francis Online",3504,C,0033-6297,1543-2750,
"QUT Law Review","Queensland University of Technology",4801,C,1445-6230,1445-6249,
"R&D Management","Wiley-Blackwell Publishing",3507,A,0033-6807,1467-9310,
"RAND Journal of Economics","Wiley-Blackwell Publishing",3801,A*,0741-6261,1756-2171,
"Rationality and Society","Sage Publications",3599,B,1043-4631,1461-7358,
"Reading in Political Economy",,3801,C,0305-814X,0079-9874,
"Real Estate Economics","Wiley-Blackwell Publishing",3502,A,1080-8620,1540-6229,
"Real Estate Law Journal","Warren, Gorham & Lamont",4801,C,0048-6868,,http://legalsolutions.thomsonreuters.com/
"Real Estate Taxation","Thomson Reuters",4801,C,1538-3792,,
"Real Property, Trust and Estate Law Journal","American Bar Association",4801,C,0034-0855,1540-8469,https://www.jstor.org/journal/reaprotruestlawj
"Recherches Economiques de Louvain","De Boeck Superior",3801,B,0770-4518,1782-1495,
"Records Management Journal","Emerald Group Publishing",4609,C,0956-5698,,
"Reflets et Perspectives de la Vie Economique","De Boeck Superior",3801,C,0034-2971,1782-1509,https://www.cairn.info/revue-reflets-et-perspectives-de-la-vie-economique.htm
"Regional Science and Urban Economics",Elsevier,3801,A,0166-0462,,http://www.journals.elsevier.com/regional-science-and-urban-economics
"Regional Studies","Taylor & Francis Online",3503,A*,0034-3404,1360-0591,http://www.tandfonline.com/cres
"Regional Studies, Regional Science","Taylor & Francis Online",3503,A,,2168-1376,
"Regulation and Governance","Wiley-Blackwell Publishing",4801,A,,1748-5991,
"Relations Industrielles / Industrial Relations","Department of Industrial Relations at Laval University",3505,B,0034-379X,1703-8138,
"Reliability Engineering & System Safety",Elsevier,3505,A,0951-8320,1879-0836,
"Research Evaluation","Oxford University Press",3507,C,0958-2029,1471-5449,http://rev.oxfordjournals.org/
"Research in Accounting in Emerging Economies","Emerald Group Publishing",3501,C,1479-3563,,http://www.emeraldgrouppublishing.com/products/books/series.htm?id=1479-3563
"Research in Accounting Regulation",Elsevier,3501,B,1052-0457,,http://www.journals.elsevier.com/research-in-accounting-regulation
"Research in Consumer Behavior: a research annual","Emerald Group Publishing",3506,C,0885-2111,,http://www.emeraldgrouppublishing.com/products/books/series.htm?id=0885-2111
"Research in Economics",Elsevier,3801,B,1090-9443,1090-9451,http://www.journals.elsevier.com/research-in-economics
"Research in Experimental Economics","Emerald Group Publishing",3801,B,0193-2306,1875-7537,
"Research in Finance",Elsevier,3502,C,0196-3821,0882-3138,
"Research in Financial Services",Elsevier,3502,C,1052-7788,,http://www.emeraldgrouppublishing.com/products/books/series.htm?id=1052-7788
"Research in Governmental and Non-Profit Accounting",Elsevier,3501,B,0884-0741,,http://www.emeraldgrouppublishing.com/products/books/recommend.htm?id=0884-0741&PHPSESSID=383gh9119558a8sc2dnhp1he25
"Research in International Business and Finance",Elsevier,3502,B,0275-5319,1878-3384,
"Research in Organizational Behavior",Elsevier,3507,A,0191-3085,,
"Research in the History of Economic Thought and Methodology","Emerald Group Publishing",3801,C,0743-4154,,http://www.emeraldinsight.com/
"Research in the Sociology of Organizations","Emerald Group Publishing",3507,A,0733-558X,,
"Research in Transportation Business & Management",Elsevier,3509,C,2210-5395,,
"Research in Transportation Economics",Elsevier,3509,B,0739-8859,1875-7979,
"Research on Professional Responsibility and Ethics in Accounting","Emerald Group Publishing",3501,B,1574-0765,,
"Research Policy",Elsevier,3507,A*,0048-7333,1873-7625,
"Research-Technology Management","Taylor & Francis Online",3507,A,0895-6308,1930-0166,https://www.tandfonline.com/journals/urtm20
"Resource and Energy Economics",Elsevier,3801,A,0928-7655,,http://www.journals.elsevier.com/resource-and-energy-economics
"Resources Policy",Elsevier,3801,B,0301-4207,1873-7641,
"Restitution Law Review","Marenex Press",4801,A,1351-170X,,
"Rethinking Marxism","Taylor & Francis Online",3899,C,0893-5696,1475-8059,http://www.tandfonline.com/rrmx
"Revenue Law Journal","Bond Faculty of Law Review Editorial Committee",4801,B,1034-7747,2202-4859,http://epublications.bond.edu.au/rlj/
