Title,Publisher,"Field of Research",Rating,ISSN,"ISSN Online",Website
"Australian Journal of Psychology","Wiley-Blackwell Publishing",3507,B,0004-9530,1742-9536,
"Australian Journal of Public Administration","Wiley-Blackwell Publishing",3599,A,0313-6647,1467-8500,
"Australian Journal of Social Issues","Wiley-Blackwell Publishing",3507,B,0157-6321,0004-9557,
"Australian Law Journal","Thomson Reuters",4801,A,0004-9611,,
"Australian Property Law Journal","University of Western Australia",4801,B,1038-5959,,
"Australian Psychologist","Wiley-Blackwell Publishing",3507,B,0005-0067,1742-9544,
"Australian Review of Public Affairs","The University of Sydney",3599,C,1832-1526,,
"Australian Tax Forum","Tax Institute",4801,A*,0812-695X,,
"Australian Tax Law Bulletin",LexisNexis,4801,C,2203-9481,,
"Australian Tax Review","Thomson Reuters",4801,A,0311-094X,,
"Austrian Economic Quarterly","Austrian Institute of Economic Research",3899,C,1025-6954,1605-4709,
"Automation in Construction",Elsevier,3504,A*,0926-5805,1872-7891,
"Baltic Journal of Economics","Taylor & Francis Online",3801,C,1406-099X,2334-4385,
"Baltic Journal of Management","Emerald Group Publishing",3507,C,1746-5265,1746-5273,
"Bank Parikrama: A Journal of Banking and Finance","Bangladesh Institute of Bank Management",3502,C,1019-7044,,
"Banking and Finance Law Review","HAB Press Limited",4801,B,0832-8722,,
"Banking Law Journal",LexisNexis,4801,C,0005-5506,,
"Banks and Bank Systems","Business Perspectives Ltd",3502,C,1816-7403,1991-7074‎,
"Basic and Applied Social Psychology","Taylor & Francis Online",3507,B,0197-3533,1532-4834,
"Basic Income Studies","De Gruyter",3801,C,2194-6094,1932-0183,
"Bayesian Analysis","International Society for Bayesian Analysis",4905,A,1936-0975,1931-6690,
"Behavioral Research in Accounting","American Accounting Association",3501,A,1050-4753,1558-8009,
"Behaviour and Information Technology","Taylor & Francis Online",4609,A,0144-929X,1362-3001,
"Benchmarking: An international journal","Emerald Group Publishing",3507,B,1463-5771,1758-4094,
"Berkeley Business Law Journal","University of California Berkeley School of Law",4801,B,1548-7067,,
"Berkeley Technology Law Journal","University of California Berkeley School of Law",4801,A,1086-3818,,
Bernoulli,"Bernoulli Society for Mathematical Statistics and Probability",4905,A,1350-7265,1573-9759,
"Betriebswirtschaftliche Forschung und Praxis - BFuP","NWB Verlag GmbH & Co. KG",3801,C,0340-5370,,
"Bio-based and Applied Economics Journal","Firenze University Press",3899,C,2280-6180,2280-6172,
Bioinformatics,"Oxford University Press",4905,A,1367-4803,1460-2059,
"Biometrical Journal","Wiley-Blackwell Publishing",4905,B,0323-3847,1521-4036,
Biometrika,"Oxford University Press",4905,A*,0006-3444,1464-3510,
Biostatistics,"Oxford University Press",4905,A,1465-4644,1468-4357,
"BMC Medical Informatics and Decision Making","BioMed Central Ltd",4609,B,1472-6947,,
"Bond Law Review","Bond Faculty of Law Review Editorial Committee",4801,B,1033-4505,,
"Boston University Law Review","Boston University School of Law",4801,A*,0006-8047,,
"Brazilian Electronic Journal of Economics","Universidade Federal de Pernambuco, Department of Economics",3801,C,1516-4373,,
"Brazilian Journal of Business Economics","Universidade Catolica de Brasilia",3801,C,1676-8000,2236-9775,
"Brazilian Journal of Rural Economy and Sociology","Brazilian Society of Rural Economics, Management and Sociology",3899,C,0103-2003,1806-9479,
"Briefing Notes in Economics","Parvis Dabir-Alai",3803,C,0968-7017,,
"Briefings in Real Estate Finance","Wiley-Blackwell Publishing",3504,C,1473-1894,1555-0990,
"British Accounting Review",Elsevier,3501,A*,0890-8389,1095-8347,
"British Actuarial Journal","Cambridge University Press",3502,B,1357-3217,2044-0456,
"British Food Journal","Emerald Group Publishing",3506,B,0007-070X,1758-4108,
"British Journal of Educational Technology","Wiley-Blackwell Publishing",4609,A,0007-1013,1467-8535,
"British Journal of Health Care Management","Mark Allen Group",3507,C,1358-0574,1759-7382,
"British Journal of Industrial Relations","Wiley-Blackwell Publishing",3505,A*,0007-1080,1467-8543,
"British Journal of Management","Wiley-Blackwell Publishing",3507,A,1045-3172,1467-8551,
"British Journal of Mathematical and Statistical Psychology","Wiley-Blackwell Publishing",4905,B,0007-1102,2044-8317,
"British Journal of Political Science","Cambridge University Press",3599,A,0007-1234,1469-2112,
"British Journal of Psychology","Wiley-Blackwell Publishing",3507,A,0007-1269,2044-8295,
"British Journal of Social Psychology","Wiley-Blackwell Publishing",3507,A,0144-6665,2044-8309,
"British Journal of Sociology","Wiley-Blackwell Publishing",3507,A,0007-1315,1468-4446,
"British Tax Review","Sweet & Maxwell",4801,A*,0007-1870,,
"Brookings Papers on Economic Activity","Brookings Institutions",3801,A,0007-2303,1533-4465,
"Brussels Economic Review","Universite libre de Bruxelles",3801,C,0008-0195,,
"Building Research and Information","Taylor & Francis Online",3599,A,0961-3218,1466-4321,
"Built Environment Project and Asset Management","Emerald Group Publishing",3599,B,2044-124X,2044-1258,
